Overall Rank,Name,Position,Team,Bye,Position Rank,Tier
1,Christian McCaffrey,RB,SF,9,1,1
2,CeeDee Lamb,WR,DAL,7,1,1
3,Tyreek Hill,WR,MIA,6,2,1
4,Ja'Marr Chase,WR,CIN,12,3,1
5,Justin Jefferson,WR,MIN,6,4,1
6,Breece Hall,RB,NYJ,12,2,1
7,Bijan Robinson,RB,ATL,12,3,1
8,Amon-Ra St. Brown,WR,DET,5,5,1
9,A.J. Brown,WR,PHI,5,6,1
10,Garrett Wilson,WR,NYJ,12,7,1
11,Jonathan Taylor,RB,IND,14,4,1
12,Puka Nacua,WR,LAR,6,8,1
13,Jahmyr Gibbs,RB,DET,5,5,1
14,Saquon Barkley,RB,PHI,5,6,1
15,Derrick Henry,RB,BAL,14,7,1
16,Kyren Williams,RB,LAR,6,8,1
17,Marvin Harrison Jr.,WR,ARI,11,9,2
18,Deebo Samuel,WR,SF,9,10,2
19,Mike Evans,WR,TB,11,11,2
20,Josh Allen,QB,BUF,12,1,1
21,Brandon Aiyuk,WR,SF,9,12,2
22,Chris Olave,WR,NO,12,13,2
23,Jalen Hurts,QB,PHI,5,2,1
24,Travis Etienne,RB,JAC,12,9,2
25,Nico Collins,WR,HOU,14,14,2
26,Drake London,WR,ATL,12,15,2
27,Davante Adams,WR,LV,10,16,2
28,DK Metcalf,WR,SEA,10,17,3
29,Patrick Mahomes,QB,KC,6,3,1
30,Sam LaPorta,TE,DET,5,1,1
31,Isiah Pacheco,RB,KC,6,10,2
32,Travis Kelce,TE,KC,6,2,1
33,Jaylen Waddle,WR,MIA,6,18,3
34,Lamar Jackson,QB,BAL,14,4,1
35,D.J. Moore,WR,CHI,7,19,3
36,De'Von Achane,RB,MIA,6,11,2
37,Amari Cooper,WR,CLE,10,20,3
38,Cooper Kupp,WR,LAR,6,21,3
39,DeVonta Smith,WR,PHI,5,22,3
40,Josh Jacobs,RB,GB,10,12,2
41,Joe Mixon,RB,HOU,14,13,2
42,Tee Higgins,WR,CIN,12,23,3
43,James Cook,RB,BUF,12,14,2
44,Kenneth Walker III,RB,SEA,10,15,2
45,Malik Nabers,WR,NYG,11,24,3
46,Rachaad White,RB,TB,11,16,2
47,George Pickens,WR,PIT,9,25,4
48,Anthony Richardson,QB,IND,14,5,1
49,Michael Pittman Jr.,WR,IND,14,26,4
50,C.J. Stroud,QB,HOU,14,6,1
51,Mark Andrews,TE,BAL,14,3,1
52,Tank Dell,WR,HOU,14,27,4
53,Stefon Diggs,WR,HOU,14,28,4
54,David Montgomery,RB,DET,5,17,3
55,Kyler Murray,QB,ARI,11,7,1
56,Joe Burrow,QB,CIN,12,8,1
57,Zay Flowers,WR,BAL,14,29,4
58,Trey McBride,TE,ARI,11,4,1
59,Dak Prescott,QB,DAL,7,9,2
60,Alvin Kamara,RB,NO,12,18,3
61,Christian Kirk,WR,JAC,12,30,4
62,James Conner,RB,ARI,11,19,3
63,Terry McLaurin,WR,WSH,14,31,4
64,Aaron Jones,RB,MIN,6,20,3
65,Rhamondre Stevenson,RB,NE,14,21,3
66,Jordan Love,QB,GB,10,10,2
67,Najee Harris,RB,PIT,9,22,3
68,Calvin Ridley,WR,TEN,5,32,4
69,Zamir White,RB,LV,10,23,3
70,Raheem Mostert,RB,MIA,6,24,3
71,George Kittle,TE,SF,9,5,1
72,Jayden Reed,WR,GB,10,33,5
73,Brock Purdy,QB,SF,9,11,2
74,D'Andre Swift,RB,CHI,7,25,4
75,Keenan Allen,WR,CHI,7,34,5
76,Kyle Pitts,TE,ATL,12,6,1
77,Diontae Johnson,WR,CAR,11,35,5
78,Chris Godwin,WR,TB,11,36,5
79,Dalton Kincaid,TE,BUF,12,7,1
80,Rashee Rice,WR,KC,6,37,5
81,Jayden Daniels,QB,WSH,14,12,2
82,Brian Robinson Jr.,RB,WSH,14,26,4
83,Christian Watson,WR,GB,10,38,5
84,Tony Pollard,RB,TEN,5,27,4
85,Hollywood Brown,WR,KC,6,39,5
86,Tua Tagovailoa,QB,MIA,6,13,2
87,Jared Goff,QB,DET,5,14,2
88,DeAndre Hopkins,WR,TEN,5,40,5
89,Zack Moss,RB,CIN,12,28,4
90,Xavier Worthy,WR,KC,6,41,6
91,Caleb Williams,QB,CHI,7,15,2
92,Devin Singletary,RB,NYG,11,29,4
93,Jake Ferguson,TE,DAL,7,8,1
94,Evan Engram,TE,JAC,12,9,2
95,Jaylen Warren,RB,PIT,9,30,4
96,Trevor Lawrence,QB,JAC,12,16,2
97,David Njoku,TE,CLE,10,10,2
98,Gus Edwards,RB,LAC,5,31,4
99,Javonte Williams,RB,DEN,14,32,4
100,Justin Herbert,QB,LAC,5,17,3
101,Jonathon Brooks,RB,CAR,11,33,5
102,Brock Bowers,TE,LV,10,11,2
103,Jordan Addison,WR,MIN,6,42,6
104,Courtland Sutton,WR,DEN,14,43,6
105,Kirk Cousins,QB,ATL,12,18,3
106,Nick Chubb,RB,CLE,10,34,5
107,Rome Odunze,WR,CHI,7,44,6
108,Dallas Goedert,TE,PHI,5,12,2
109,Ladd McConkey,WR,LAC,5,45,6
110,Jaxon Smith-Njigba,WR,SEA,10,46,6
111,Jameson Williams,WR,DET,5,47,6
112,Matthew Stafford,QB,LAR,6,19,3
113,Tyjae Spears,RB,TEN,5,35,5
114,Ezekiel Elliott,RB,DAL,7,36,5
115,Chase Brown,RB,CIN,12,37,5
116,Dalton Schultz,TE,HOU,14,13,2
117,Pat Freiermuth,TE,PIT,9,14,2
118,Brian Thomas Jr.,WR,JAC,12,48,6
119,Aaron Rodgers,QB,NYJ,12,20,3
120,Austin Ekeler,RB,WSH,14,38,5
121,Deshaun Watson,QB,CLE,10,21,3
122,Jerome Ford,RB,CLE,10,39,5
123,Tyler Lockett,WR,SEA,10,49,7
124,Trey Benson,RB,ARI,11,40,5
125,Keon Coleman,WR,BUF,12,50,7
126,Baker Mayfield,QB,TB,11,22,3
127,Rashid Shaheed,WR,NO,12,51,7
128,Curtis Samuel,WR,BUF,12,52,7
129,Geno Smith,QB,SEA,10,23,3
130,Jakobi Meyers,WR,LV,10,53,7
131,Cole Kmet,TE,CHI,7,15,2
132,Blake Corum,RB,LAR,6,41,6
133,Mike Williams,WR,NYJ,12,54,7
134,Zach Charbonnet,RB,SEA,10,42,6
135,Brandin Cooks,WR,DAL,7,55,7
136,Chuba Hubbard,RB,CAR,11,43,6
137,Josh Palmer,WR,LAC,5,56,7
138,T.J. Hockenson,TE,MIN,6,16,2
139,Will Levis,QB,TEN,5,24,3
140,Romeo Doubs,WR,GB,10,57,8
141,Rico Dowdle,RB,DAL,7,44,6
142,Hunter Henry,TE,NE,14,17,3
143,Ty Chandler,RB,MIN,6,45,6
144,Luke Musgrave,TE,GB,10,18,3
145,Tyler Allgeier,RB,ATL,12,46,6
146,Jaleel McLaughlin,RB,DEN,14,47,6
147,Gabe Davis,WR,JAC,12,58,8
148,Jerry Jeudy,WR,CLE,10,59,8
149,Khalil Shakir,WR,BUF,12,60,8
150,Antonio Gibson,RB,NE,14,48,6
151,MarShawn Lloyd,RB,GB,10,49,7
152,Derek Carr,QB,NO,12,25,4
153,Taysom Hill,QB,NO,12,26,4
154,Daniel Jones,QB,NYG,11,27,4
155,Josh Downs,WR,IND,14,61,8
156,Jahan Dotson,WR,WSH,14,62,8
157,Kendre Miller,RB,NO,12,50,7
158,J.K. Dobbins,RB,LAC,5,51,7
159,Khalil Herbert,RB,CHI,7,52,7
160,Dontayvion Wicks,WR,GB,10,63,8
161,Ravens D/ST,D/ST,BAL,14,1,1
162,Bryce Young,QB,CAR,11,28,4
163,49ers D/ST,D/ST,SF,9,2,1
164,Adonai Mitchell,WR,IND,14,64,8
165,Jets D/ST,D/ST,NYJ,12,3,1
166,Cowboys D/ST,D/ST,DAL,7,4,1
167,Elijah Mitchell,RB,SF,9,53,7
168,Adam Thielen,WR,CAR,11,65,9
169,Browns D/ST,D/ST,CLE,10,5,1
